"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000211672",18.7093350957474,-7.62865067216557,1.04634278159577,-7.29077583975987,3.08175148450833e-13,6.8470141948221e-11,NA,NA
"ENSG00000166501",1155.84288600257,-3.37331551565961,0.46295577381304,-7.28647466231168,3.18170595832728e-13,7.02067391462135e-11,"PRKCB","5579"
"ENSG00000211668",2092.61876385616,-6.45481096114822,0.890140970559132,-7.25144800052705,4.12339331618735e-13,8.99075922210606e-11,NA,NA
"ENSG00000124772",998.263304497095,-2.60383722391094,0.359089543559801,-7.25121984365806,4.13034630268096e-13,8.99075922210606e-11,"CPNE5","57699"
"ENSG00000255760",70.6070457479878,-7.0052709215417,0.967484217577051,-7.24070821443017,4.46347763356181e-13,9.65069768072667e-11,"LINC02422","105369723"
"ENSG00000232613",17.1376454645393,-6.91809266828764,0.957052791287754,-7.22853820736374,4.88220483956921e-13,1.04566196966401e-10,NA,NA
"ENSG00000240505",187.492020019958,-6.29750281716794,0.87126340486079,-7.22801254136704,4.9011347597239e-13,1.04566196966401e-10,"TNFRSF13B","23495"
"ENSG00000178562",367.930044640656,-4.16574227764452,0.577423351531056,-7.21436406511605,5.41866058496939e-13,1.14847085135114e-10,"CD28","940"
"ENSG00000012124",2898.56324754963,-4.27175299206129,0.593277530552449,-7.20026087636171,6.0097465271261e-13,1.26542479815617e-10,"CD22","933"
"ENSG00000260682",485.832537460895,-2.32837467848931,0.323429388357101,-7.19902013331743,6.06467966918962e-13,1.26869948196502e-10,NA,NA
"ENSG00000182183",119.486492264541,-3.17635757765445,0.442198616389245,-7.18310157456138,6.81474308995788e-13,1.41641137668441e-10,"SHISAL2A","348378"
"ENSG00000271680",39.085411485431,-4.81092437312824,0.670288677406216,-7.17739167509862,7.10539145032212e-13,1.46293425454714e-10,NA,NA
"ENSG00000123485",96.6533715472801,-3.64261777649357,0.507545370045484,-7.17693036223961,7.12939775154898e-13,1.46293425454714e-10,"HJURP","55355"
"ENSG00000135426",405.01100569772,-3.44946600961219,0.481147835264278,-7.1692435397065,7.54132978455563e-13,1.5281237958393e-10,"TESPA1","9840"
"ENSG00000105122",2659.85334021494,-2.89409078535896,0.403682113082608,-7.16923215462541,7.54195690149144e-13,1.5281237958393e-10,"RASAL3","64926"
"ENSG00000104972",625.844665053392,-3.49621251223461,0.48794242702176,-7.16521523568742,7.76644353069885e-13,1.56377340490621e-10,"LILRB1","10859"
"ENSG00000125245",117.71258683923,-3.87481133909085,0.541815361940182,-7.15153465788708,8.58130476440606e-13,1.71711375335469e-10,"GPR18","2841"
"ENSG00000168421",551.918661620946,-3.70199710794174,0.51902794229293,-7.13255839673541,9.85202553390863e-13,1.95921515185432e-10,"RHOH","399"
"ENSG00000131401",595.016168076453,-4.0327112494002,0.566698814734248,-7.1161455513037,1.1098708934842e-12,2.19359513524461e-10,"NAPSB","256236"
"ENSG00000164691",554.040187436026,-3.28247706390524,0.461438114819007,-7.11358025808672,1.1307068272209e-12,2.22114946010663e-10,"TAGAP","117289"
"ENSG00000196684",1142.18746982785,-3.17957320360204,0.447450890650824,-7.10597133682603,1.19479211077479e-12,2.332813493377e-10,"HSH2D","84941"
"ENSG00000180448",5689.6422636545,-2.78691769726557,0.39224185619494,-7.10510021623113,1.20235260934353e-12,2.33343323268742e-10,"ARHGAP45","23526"
"ENSG00000174083",160.87814181691,-3.42402305680475,0.482399349055431,-7.09790148661935,1.26665416926084e-12,2.44350483334774e-10,NA,NA
"ENSG00000196092",504.939883546319,-7.12728762776886,1.0044957863664,-7.09538827788486,1.2898882170236e-12,2.47351421426382e-10,"PAX5","5079"
